id,name,centerLat,centerLng
1,พระนคร,13.7540,100.4990
2,ดุสิต,13.7767,100.5212
3,หนองจอก,13.8550,100.8625
4,บางรัก,13.7279,100.5251
5,บางเขน,13.8741,100.5975
6,บางกะปิ,13.7658,100.6477
7,ปทุมวัน,13.7445,100.5347
8,ป้อมปราบศัตรูพ่าย,13.7580,100.5100
9,พระโขนง,13.6998,100.6052
10,มีนบุรี,13.8139,100.7483
11,ลาดกระบัง,13.7223,100.7844
12,ยานนาวา,13.6961,100.5422
13,สัมพันธวงศ์,13.7408,100.5085
14,พญาไท,13.7801,100.5408
15,ธนบุรี,13.7250,100.4858
16,บางกอกใหญ่,13.7314,100.4808
17,ห้วยขวาง,13.7786,100.5750
18,คลองสาน,13.7289,100.5050
19,ตลิ่งชัน,13.7768,100.4566
20,บางกอกน้อย,13.7621,100.4735
21,บางขุนเทียน,13.6067,100.4358
22,ภาษีเจริญ,13.7214,100.4552
23,หนองแขม,13.7047,100.3486
24,ราษฎร์บูรณะ,13.6822,100.5055
25,บางพลัด,13.7925,100.4938
26,ดินแดง,13.7698,100.5532
27,บึงกุ่ม,13.7936,100.6558
28,สาทร,13.7208,100.5267
29,บางซื่อ,13.8097,100.5312
30,จตุจักร,13.8286,100.5597
31,บางคอแหลม,13.6933,100.5025
32,ประเวศ,13.6997,100.6908
33,คลองเตย,13.7081,100.5838
34,สวนหลวง,13.7303,100.6514
35,จอมทอง,13.6775,100.4608
36,ดอนเมือง,13.9130,100.5897
37,ราชเทวี,13.7589,100.5344
38,ลาดพร้าว,13.8036,100.6075
39,วัฒนา,13.7381,100.5638
40,บางแค,13.7119,100.3928
41,หลักสี่,13.8875,100.5786
42,สายไหม,13.9192,100.6458
43,คันนายาว,13.8272,100.6742
44,สะพานสูง,13.7708,100.6861
45,วังทองหลาง,13.7864,100.6086
46,คลองสามวา,13.8597,100.7042
47,บางบอน,13.6592,100.3986
48,ทุ่งครุ,13.6472,100.5014
49,บางนา,13.6681,100.6042
50,ทวีวัฒนา,13.7878,100.3497
