id,district_id,location_name,category,lat,lng,intensity,incident_datetime
1,17,"บริเวณสะพานลอยคนข้ามถนนหลานหลวง",overpass,13.75640000,100.51220000,0.65,"2026-02-14 21:45"
2,17,"โรงแรมอวานี่เอเทเรี่ยม บางกอก",other,13.74830000,100.57010000,0.50,"2026-05-20 18:30"
3,2,"สถานีรถไฟสามเสนถนนเทิดดำริ",other,13.77880000,100.53030000,0.60,"2026-01-11 22:15"
4,17,"ริมถนนรัชดาภิเษก (แยกพระราม 9 - แยกเทียมร่วมมิตร)",dark_alley,13.76450000,100.56980000,0.55,"2026-06-03 23:00"
5,26,"ริมถนนรัชดาภิเษก (ฝั่งดินแดง)",dark_alley,13.76890000,100.56920000,0.55,"2026-03-29 01:20"
6,37,"ถนนเพชรบุรี (แยกราชเทวี - มิตรสัมพันธ์)",dark_alley,13.75120000,100.53980000,0.60,"2026-07-12 20:50"
7,1,"ถนนราชินี หน้าสถาบันบัณฑิตพัฒนศิลป์ - โค้งใต้สะพานพระปิ่นเกล้า",dark_alley,13.75920000,100.49320000,0.70,"2026-04-18 22:40"
8,2,"ซอยวัดประชาระบือธรรม",dark_alley,13.78540000,100.52310000,0.65,"2026-01-25 19:10"
9,26,"ถนนภายในซอยหอการค้า ถนนประชาสงเคราะห์",dark_alley,13.77920000,100.55810000,0.60,"2026-05-08 21:05"
10,29,"ถนนประชาราษฎร์สาย 1 หน้าร้านอาหารบ้านสเต็ก",other,13.80550000,100.52180000,0.50,"2026-02-28 20:15"
11,29,"ถนนประชาราษฎร์สาย 1 หน้าร้านข้าวต้มรุ่งโรจน์",other,13.80820000,100.52250000,0.50,"2026-06-15 02:10"
12,29,"ถนนประชาราษฎร์สาย 2 จุดกลับรถใต้สะพานสูง",overpass,13.80210000,100.53620000,0.75,"2026-03-04 22:55"
13,36,"ถนนในซอยสรงประภา 28",dark_alley,13.92140000,100.58120000,0.65,"2026-07-01 21:30"
14,30,"ใต้สะพานลอย 5 แยกลาดพร้าว",overpass,13.81350000,100.56020000,0.75,"2026-04-09 23:45"
15,30,"สวนหย่อมรัชวิภา",park,13.82810000,100.54890000,0.65,"2026-05-17 19:40"
16,42,"บ้านร้างหมู่บ้านศรีธราวรรณ ถนนวัดเกาะ",abandoned_building,13.91250000,100.63820000,0.90,"2026-01-08 00:30"
17,42,"ซอยเพิ่มสิน 64",dark_alley,13.90420000,100.65210000,0.70,"2026-06-22 21:15"
18,10,"ปากซอยรามคำแหง 166",dark_alley,13.80410000,100.71820000,0.60,"2026-03-11 20:00"
19,46,"บริเวณแยกกีบหมู ถนนเจริญพัฒนา",dark_alley,13.83120000,100.70890000,0.75,"2026-07-29 22:10"
20,3,"มหาวิทยาลัยมหานคร",other,13.85620000,100.86120000,0.50,"2026-02-05 17:50"
21,11,"สะพานลอยหลังวัดคลอง 1",overpass,13.72910000,100.77120000,0.70,"2026-04-26 21:20"
22,6,"บริเวณสะพานปูนเลียบคลองแสนแสบ ท้ายซอยลาดพร้าว 130-140",dark_alley,13.76610000,100.63910000,0.85,"2026-05-31 23:15"
23,45,"ซอยแยกลาดพร้าว 122",dark_alley,13.77450000,100.61820000,0.65,"2026-01-19 20:45"
24,38,"ซอยนาคนิวาส 48",dark_alley,13.81120000,100.60910000,0.60,"2026-06-18 22:00"
25,31,"ริมทางใต้ทางด่วน (ไอด้า) ติดสนามกีฬาฟุตบอล",overpass,13.69120000,100.50120000,0.80,"2026-03-15 21:50"
26,28,"หน้าสวนหย่อมใต้ด่วนอยู่ดี ถนนเจริญราษฎร์ 5",park,13.71210000,100.52810000,0.65,"2026-07-07 19:25"
27,4,"ซอยศาลาแดง",dark_alley,13.72810000,100.53410000,0.55,"2026-02-22 22:35"
28,33,"หน้าสวนชูวิทย์",park,13.73820000,100.55820000,0.60,"2026-04-03 20:10"
29,8,"ตึกร้างตรงข้ามโรงพยาบาลหัวเฉียว",abandoned_building,13.75120000,100.51420000,0.90,"2026-01-30 01:00"
30,4,"อาคารร้าง เลขที่ 336/15-17 ตรอกฉลองกรุง ถ.พระราม 4",abandoned_building,13.73210000,100.52820000,0.90,"2026-05-12 02:45"
31,25,"ตึกร้างซอยจรัญ 95/1",abandoned_building,13.79810000,100.49120000,0.90,"2026-06-25 00:15"
32,20,"ซอยจรัญ 37 แยกอำนวยผล 8",dark_alley,13.75620000,100.46820000,0.65,"2026-03-08 21:40"
33,18,"ที่ดินรกร้างเอกชน ปากซอยเจริญนคร 41-43",abandoned_building,13.71820000,100.50120000,0.85,"2026-07-21 23:50"
34,35,"ซอยหลังหมู่บ้านวรการ ซอยพระราม 2 ที่ 38",dark_alley,13.68210000,100.46910000,0.70,"2026-02-09 20:30"
35,21,"อาคารทิ้งร้างตึกแถว 4 ชั้น เลขที่ 77/620-626 ถ.พระราม 2",abandoned_building,13.63120000,100.42810000,0.95,"2026-04-14 01:10"
36,47,"ตึกร้างถนนกัลปพฤกษ์ ติดสนามฟุตบอลไพจิตร",abandoned_building,13.67810000,100.41210000,0.90,"2026-06-08 23:25"
37,22,"สะพานลอยหน้ามหาวิทยาลัยสยาม",overpass,13.72120000,100.45710000,0.60,"2026-05-02 18:45"
38,40,"ซอยเพชรเกษม 62/3",dark_alley,13.71320000,100.40120000,0.65,"2026-01-17 21:00"
39,23,"ซอยมาเจริญ 1 แยก 3",dark_alley,13.69820000,100.34210000,0.70,"2026-07-15 22:05"
